town,storey_range,floor_area_sqm,remaining_lease
87920,ANG MO KIO,1,95.0,90
87921,ANG MO KIO,0,88.0,90
87922,ANG MO KIO,1,88.0,90
87923,ANG MO KIO,1,91.0,59
87924,ANG MO KIO,1,97.0,55
87925,ANG MO KIO,0,102.0,71
87926,ANG MO KIO,0,91.0,59
87927,ANG MO KIO,2,87.0,90
87928,ANG MO KIO,2,96.0,90
87929,ANG MO KIO,2,96.0,90
87930,ANG MO KIO,2,95.0,90
87931,ANG MO KIO,0,98.0,54
87932,ANG MO KIO,2,91.0,59
87933,ANG MO KIO,2,88.0,90
87934,ANG MO KIO,0,97.0,54
87935,ANG MO KIO,1,102.0,70
87936,ANG MO KIO,1,91.0,59
87937,ANG MO KIO,2,94.0,90
87938,ANG MO KIO,2,87.0,90
87939,ANG MO KIO,1,94.0,90
87940,ANG MO KIO,1,92.0,57
87941,ANG MO KIO,0,92.0,57
87942,ANG MO KIO,1,92.0,57
87943,ANG MO KIO,0,92.0,59
87944,ANG MO KIO,1,92.0,57
87945,ANG MO KIO,0,92.0,57
87946,ANG MO KIO,1,93.0,58
87947,ANG MO KIO,1,92.0,57
87948,ANG MO KIO,0,92.0,57
87949,ANG MO KIO,1,92.0,59
87950,ANG MO KIO,0,93.0,58
87951,ANG MO KIO,0,92.0,57
87952,ANG MO KIO,0,92.0,58
87953,ANG MO KIO,1,91.0,57
87954,ANG MO KIO,0,92.0,58
87955,ANG MO KIO,0,92.0,57
87956,ANG MO KIO,1,92.0,57
87957,ANG MO KIO,0,93.0,58
87958,ANG MO KIO,1,99.0,57
87959,ANG MO KIO,0,92.0,56
87960,ANG MO KIO,1,92.0,57
87961,ANG MO KIO,1,92.0,57
87962,ANG MO KIO,0,93.0,58
87963,ANG MO KIO,0,92.0,58
87964,ANG MO KIO,1,92.0,55
87965,ANG MO KIO,0,92.0,56
87966,ANG MO KIO,2,92.0,58
87967,ANG MO KIO,1,98.0,56
87968,ANG MO KIO,1,92.0,56
87969,ANG MO KIO,1,92.0,57
87970,ANG MO KIO,1,98.0,56
87971,ANG MO KIO,0,81.0,55
87972,ANG MO KIO,1,92.0,56
87973,ANG MO KIO,0,92.0,58
87974,ANG MO KIO,1,81.0,55
87975,ANG MO KIO,1,92.0,57
87976,ANG MO KIO,2,92.0,57
87977,ANG MO KIO,0,98.0,56
87978,ANG MO KIO,1,92.0,56
87979,ANG MO KIO,1,81.0,55
87980,ANG MO KIO,0,92.0,55
87981,ANG MO KIO,0,98.0,56
87982,ANG MO KIO,0,98.0,56
87983,ANG MO KIO,0,92.0,54
87984,ANG MO KIO,1,92.0,56
87985,ANG MO KIO,1,91.0,55
87986,ANG MO KIO,0,92.0,57
87987,ANG MO KIO,0,98.0,56
87988,ANG MO KIO,1,81.0,55
87989,ANG MO KIO,0,91.0,57
87990,ANG MO KIO,1,92.0,57
87991,ANG MO KIO,0,91.0,57
87992,ANG MO KIO,1,92.0,57
87993,ANG MO KIO,1,98.0,56
87994,ANG MO KIO,0,98.0,56
87995,ANG MO KIO,1,92.0,57
87996,ANG MO KIO,0,92.0,56
87997,ANG MO KIO,0,112.0,71
87998,ANG MO KIO,2,92.0,57
87999,ANG MO KIO,1,99.0,55
88000,ANG MO KIO,1,90.0,55
88001,ANG MO KIO,0,92.0,54
88002,ANG MO KIO,0,92.0,57
88003,ANG MO KIO,1,92.0,56
88004,ANG MO KIO,0,91.0,54
88005,ANG MO KIO,1,98.0,55
88006,ANG MO KIO,0,91.0,54
88007,ANG MO KIO,0,98.0,56
88008,ANG MO KIO,1,89.0,55
88009,ANG MO KIO,1,92.0,56
88010,ANG MO KIO,0,98.0,55
88011,ANG MO KIO,0,92.0,56
88012,ANG MO KIO,1,98.0,56
88013,ANG MO KIO,1,92.0,55
88014,ANG MO KIO,1,98.0,55
88015,ANG MO KIO,0,98.0,56
88016,ANG MO KIO,1,92.0,55
88017,ANG MO KIO,1,98.0,55
88018,ANG MO KIO,1,81.0,54
88019,ANG MO KIO,1,92.0,56
88020,ANG MO KIO,0,107.0,74
88021,ANG MO KIO,1,95.0,58
88022,ANG MO KIO,1,91.0,58
88023,ANG MO KIO,0,99.0,55
88024,ANG MO KIO,1,97.0,55
88025,ANG MO KIO,0,91.0,59
88026,ANG MO KIO,1,107.0,74
88027,ANG MO KIO,1,92.0,56
88028,ANG MO KIO,1,107.0,74
88029,ANG MO KIO,0,91.0,59
88030,ANG MO KIO,0,91.0,59
88031,ANG MO KIO,1,92.0,56
88032,ANG MO KIO,0,97.0,55
88033,ANG MO KIO,1,91.0,59
88034,ANG MO KIO,1,99.0,55
88035,ANG MO KIO,1,83.0,56
88036,ANG MO KIO,0,98.0,59
88037,ANG MO KIO,1,92.0,55
88038,ANG MO KIO,0,99.0,55
88039,ANG MO KIO,0,92.0,59
88040,ANG MO KIO,0,100.0,58
88041,ANG MO KIO,0,91.0,58
88042,ANG MO KIO,0,93.0,59
88043,ANG MO KIO,1,100.0,58
88044,ANG MO KIO,0,100.0,58
88045,ANG MO KIO,0,91.0,58
88046,ANG MO KIO,1,91.0,58
88047,ANG MO KIO,1,93.0,58
88048,ANG MO KIO,1,100.0,58
88049,ANG MO KIO,2,90.0,81
88050,ANG MO KIO,0,109.0,58
88051,ANG MO KIO,2,85.0,81
88052,ANG MO KIO,0,91.0,58
88053,ANG MO KIO,0,93.0,62
88054,ANG MO KIO,0,92.0,58
88055,ANG MO KIO,0,91.0,58
88056,ANG MO KIO,1,91.0,58
88057,ANG MO KIO,0,91.0,58
88058,ANG MO KIO,1,92.0,58
88059,ANG MO KIO,0,91.0,58
88060,ANG MO KIO,1,91.0,58
88061,ANG MO KIO,0,90.0,84
88062,ANG MO KIO,0,90.0,84
88063,ANG MO KIO,2,90.0,84
88064,ANG MO KIO,2,95.0,84
88065,ANG MO KIO,0,90.0,83
88066,ANG MO KIO,2,95.0,79
88067,ANG MO KIO,0,90.0,79
88068,ANG MO KIO,2,95.0,79
88069,ANG MO KIO,2,90.0,79
88070,ANG MO KIO,0,95.0,79
